Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,monthly_payment,debt_to_savings_ratio,description,target
30,female,2,own,little,,8133,36,car,225.91666666666666,4066.5,"30-year-old female with moderate savings and checking account, owns housing, moderate debt-to-savings ratio, car purpose, 36-month duration.",bad risk
46,male,1,rent,,,730,7,radio/TV,104.28571428571429,730.0,"46-year-old male with no savings, rents housing, no checking account, high debt-to-savings ratio, radio/TV purpose, 7-month duration.",bad risk
51,male,3,free,little,little,1164,8,vacation/others,145.5,582.0,"51-year-old male with moderate savings and checking account, free housing, moderate debt-to-savings ratio, vacation/others purpose, 8-month duration.",good risk
41,female,1,own,little,moderate,5954,42,business,141.76190476190476,2977.0,"41-year-old female with moderate savings and checking account, owns housing, moderate debt-to-savings ratio, business purpose, 42-month duration.",good risk
40,male,3,own,,little,1977,36,education,54.916666666666664,1977.0,"40-year-old male with no savings and checking account, owns housing, moderate debt-to-savings ratio, education purpose, 36-month duration.",good risk
66,male,3,free,little,little,1526,12,car,127.16666666666667,763.0,"66-year-old male with moderate savings and checking account, free housing, moderate debt-to-savings ratio, car purpose, 12-month duration.",good risk
34,male,2,own,little,little,3965,42,radio/TV,94.4047619047619,1982.5,"34-year-old male with moderate savings and checking account, owns housing, moderate debt-to-savings ratio, radio/TV purpose, 42-month duration.",good risk
51,male,2,own,little,moderate,4771,11,radio/TV,433.72727272727275,2385.5,"51-year-old male with moderate savings and checking account, owns housing, moderate debt-to-savings ratio, radio/TV purpose, 11-month duration.",good risk
39,male,1,own,,,9436,54,car,174.74074074074073,9436.0,"39-year-old male with no savings and checking account, owns housing, high debt-to-savings ratio, car purpose, 54-month duration.",bad risk
22,male,2,own,little,moderate,3832,30,furniture/equipment,127.73333333333333,1916.0,"22-year-old male with moderate savings and checking account, owns housing, moderate debt-to-savings ratio, furniture/equipment purpose, 30-month duration.",good risk
44,female,2,own,,,5943,24,radio/TV,247.625,5943.0,"44-year-old female with no savings, owns housing, high debt-to-savings ratio, moderate monthly payment.",bad risk
47,male,2,own,quite rich,,1213,15,radio/TV,80.86666666666666,1213.0,"47-year-old male with rich savings, owns housing, low debt-to-savings ratio, moderate monthly payment.",good risk
24,female,1,rent,moderate,,1568,18,business,87.11111111111111,522.6666666666666,"24-year-old female with moderate savings, rents housing, moderate debt-to-savings ratio, low monthly payment.",good risk
58,female,1,own,little,little,1755,24,vacation/others,73.125,877.5,"58-year-old female with little savings, owns housing, moderate debt-to-savings ratio, low monthly payment.",bad risk
52,male,1,own,little,little,2315,10,radio/TV,231.5,1157.5,"52-year-old male with little savings, owns housing, moderate debt-to-savings ratio, moderate monthly payment.",bad risk
29,female,3,own,little,,1412,12,business,117.66666666666667,706.0,"29-year-old female with little savings, owns housing, moderate debt-to-savings ratio, moderate monthly payment.",bad risk
27,female,2,own,little,moderate,1295,18,furniture/equipment,71.94444444444444,647.5,"27-year-old female with little savings, owns housing, moderate debt-to-savings ratio, low monthly payment.",good risk
47,male,2,free,moderate,moderate,12612,36,education,350.3333333333333,4204.0,"47-year-old male with moderate savings, no housing, high debt-to-savings ratio, moderate monthly payment.",bad risk
30,male,3,own,moderate,little,2249,18,car,124.94444444444444,749.6666666666666,"30-year-old male with moderate savings, owns housing, moderate debt-to-savings ratio, moderate monthly payment.",good risk
28,male,2,own,little,little,1108,12,repairs,92.33333333333333,554.0,"28-year-old male with little savings, owns housing, moderate debt-to-savings ratio, moderate monthly payment.",good risk
56,male,2,own,little,,618,12,radio/TV,51.5,309.0,"56-year-old male with little savings, owns housing, moderate debt-to-savings ratio, low monthly payment.",good risk
54,male,2,own,little,little,1409,12,car,117.41666666666667,704.5,"54-year-old male with little savings, owns housing, moderate debt-to-savings ratio, moderate monthly payment.",good risk
33,female,1,own,,,797,12,radio/TV,66.41666666666667,797.0,"33-year-old female with no savings, owns housing, high debt-to-savings ratio, low monthly payment.",bad risk
20,male,2,rent,,rich,3617,24,furniture/equipment,150.70833333333334,3617.0,"20-year-old male with no savings, rents housing, rich checking account, high debt-to-savings ratio, moderate monthly payment.",bad risk
54,male,2,own,rich,moderate,1318,12,car,109.83333333333333,329.5,"54-year-old male with rich savings, owns housing, moderate debt-to-savings ratio, moderate monthly payment.",good risk
58,male,2,rent,little,moderate,15945,54,business,295.27777777777777,7972.5,"58-year-old male with little savings, rents housing, moderate debt-to-savings ratio, moderate monthly payment.",bad risk
61,female,2,own,,,2012,12,education,167.66666666666666,2012.0,"61-year-old female with no savings, owns housing, high debt-to-savings ratio, moderate monthly payment.",bad risk
34,male,2,own,moderate,moderate,2622,18,business,145.66666666666666,874.0,"34-year-old male with moderate savings, owns housing, moderate debt-to-savings ratio, moderate monthly payment.",good risk
36,male,2,own,little,moderate,2337,36,radio/TV,64.91666666666667,1168.5,"36-year-old male with little savings, owns housing, moderate debt-to-savings ratio, low monthly payment.",bad risk
36,male,3,rent,,moderate,7057,20,car,352.85,7057.0,"36-year-old male with no savings, rents housing, moderate debt-to-savings ratio, moderate monthly payment.",bad risk
41,male,1,rent,moderate,,1469,24,car,61.208333333333336,489.6666666666667,"41-year-old male with moderate savings, renting, no checking account, high debt-to-savings ratio, seeking a car loan.",bad risk
24,male,2,rent,little,moderate,2323,36,radio/TV,64.52777777777777,1161.5,"24-year-old male with little savings, renting, moderate checking account, high debt-to-savings ratio, seeking a radio/TV loan.",bad risk
24,female,2,own,little,,932,6,radio/TV,155.33333333333334,466.0,"24-year-old female with little savings, owning a home, no checking account, high debt-to-savings ratio, seeking a radio/TV loan.",bad risk
35,male,2,rent,little,moderate,1919,9,furniture/equipment,213.22222222222223,959.5,"35-year-old male with little savings, renting, moderate checking account, high debt-to-savings ratio, seeking furniture/equipment loan.",bad risk
26,male,2,rent,,,2445,12,car,203.75,2445.0,"26-year-old male with no savings, renting, no checking account, very high debt-to-savings ratio, seeking a car loan.",bad risk
39,male,3,own,little,moderate,11938,24,vacation/others,497.4166666666667,5969.0,"39-year-old male with little savings, owning a home, moderate checking account, high debt-to-savings ratio, seeking a vacation/others loan.",bad risk
39,male,3,own,little,,6458,18,car,358.77777777777777,3229.0,"39-year-old male with little savings, owning a home, no checking account, high debt-to-savings ratio, seeking a car loan.",bad risk
32,male,2,own,little,moderate,6078,12,car,506.5,3039.0,"32-year-old male with little savings, owning a home, moderate checking account, high debt-to-savings ratio, seeking a car loan.",bad risk
30,female,2,own,,little,7721,24,furniture/equipment,321.7083333333333,7721.0,"30-year-old female with no savings, owning a home, little checking account, very high debt-to-savings ratio, seeking furniture/equipment loan.",bad risk
35,male,2,own,quite rich,moderate,1410,14,business,100.71428571428571,1410.0,"35-year-old male with quite rich savings, owning a home, moderate checking account, very high debt-to-savings ratio, seeking a business loan.",good risk
31,male,2,own,moderate,moderate,1449,6,business,241.5,483.0,"31-year-old male with moderate savings, owning a home, moderate checking account, high debt-to-savings ratio, seeking a business loan.",good risk
23,female,2,rent,little,rich,392,15,education,26.133333333333333,196.0,"23-year-old female with little savings, renting, rich checking account, moderate debt-to-savings ratio, seeking an education loan.",good risk
28,male,1,rent,little,moderate,6260,18,car,347.77777777777777,3130.0,"28-year-old male with little savings, renting, moderate checking account, high debt-to-savings ratio, seeking a car loan.",bad risk
25,female,2,own,little,,7855,36,car,218.19444444444446,3927.5,"25-year-old female with little savings, owning a home, no checking account, high debt-to-savings ratio, seeking a car loan.",bad risk
35,male,2,own,quite rich,little,1680,12,radio/TV,140.0,1680.0,"35-year-old male with quite rich savings, owning a home, little checking account, very high debt-to-savings ratio, seeking a radio/TV loan.",good risk
47,male,2,own,,,3578,48,radio/TV,74.54166666666667,3578.0,"47-year-old male with no savings, owning a home, no checking account, very high debt-to-savings ratio, seeking a radio/TV loan.",bad risk
30,female,3,own,,little,7174,42,radio/TV,170.8095238095238,7174.0,"30-year-old female with no savings, owning a home, little checking account, very high debt-to-savings ratio, seeking a radio/TV loan.",bad risk
27,female,2,rent,,little,2132,10,furniture/equipment,213.2,2132.0,"27-year-old female with no savings, renting, little checking account, very high debt-to-savings ratio, seeking furniture/equipment loan.",bad risk
23,female,2,own,quite rich,little,4281,33,furniture/equipment,129.72727272727272,4281.0,"23-year-old female with quite rich savings, owning a home, little checking account, very high debt-to-savings ratio, seeking furniture/equipment loan.",good risk
36,male,3,own,quite rich,moderate,2366,12,car,197.16666666666666,2366.0,"36-year-old male with quite rich savings, owning a home, moderate checking account, very high debt-to-savings ratio, seeking a car loan.",good risk
25,female,2,own,little,little,1835,21,radio/TV,87.38095238095238,917.5,"25-year-old female with low savings and checking accounts, owns housing, high debt-to-savings ratio, moderate monthly payment.",bad risk
41,female,3,rent,little,,3868,24,car,161.16666666666666,1934.0,"41-year-old female renting, low savings, no checking account, high debt-to-savings ratio, moderate monthly payment.",bad risk
24,male,1,rent,little,,1768,12,furniture/equipment,147.33333333333334,884.0,"24-year-old male renting, low savings, no checking account, moderate debt-to-savings ratio, high monthly payment.",bad risk
63,male,2,free,little,rich,781,10,car,78.1,390.5,"63-year-old male with free housing, low savings, rich checking account, moderate debt-to-savings ratio, low monthly payment.",good risk
27,female,2,rent,,moderate,1924,18,furniture/equipment,106.88888888888889,1924.0,"27-year-old female renting, no savings, moderate checking account, very high debt-to-savings ratio, moderate monthly payment.",bad risk
30,male,2,own,little,little,2121,12,car,176.75,1060.5,"30-year-old male owning housing, low savings, low checking account, moderate debt-to-savings ratio, moderate monthly payment.",bad risk
40,male,1,own,little,little,701,12,radio/TV,58.416666666666664,350.5,"40-year-old male owning housing, low savings, low checking account, moderate debt-to-savings ratio, low monthly payment.",good risk
30,male,2,own,little,moderate,639,12,repairs,53.25,319.5,"30-year-old male owning housing, low savings, moderate checking account, moderate debt-to-savings ratio, low monthly payment.",good risk
34,male,3,own,little,moderate,1860,12,car,155.0,930.0,"34-year-old male owning housing, low savings, moderate checking account, moderate debt-to-savings ratio, moderate monthly payment.",good risk
29,female,2,own,little,little,3499,12,car,291.5833333333333,1749.5,"29-year-old female owning housing, low savings, low checking account, moderate debt-to-savings ratio, high monthly payment.",bad risk
24,female,2,own,,moderate,8487,48,car,176.8125,8487.0,"24-year-old female owning housing, no savings, moderate checking account, very high debt-to-savings ratio, moderate monthly payment.",bad risk
29,male,2,own,little,little,6887,36,education,191.30555555555554,3443.5,"29-year-old male owning housing, low savings, low checking account, moderate debt-to-savings ratio, high monthly payment.",bad risk
27,male,1,own,little,,2708,15,furniture/equipment,180.53333333333333,1354.0,"27-year-old male owning housing, low savings, no checking account, moderate debt-to-savings ratio, high monthly payment.",bad risk
47,male,2,free,little,,1984,18,furniture/equipment,110.22222222222223,992.0,"47-year-old male with free housing, low savings, no checking account, moderate debt-to-savings ratio, moderate monthly payment.",good risk
21,female,2,own,moderate,,10144,60,radio/TV,169.06666666666666,3381.3333333333335,"21-year-old female owning housing, moderate savings, no checking account, moderate debt-to-savings ratio, moderate monthly payment.",good risk
38,female,2,own,,,1240,12,radio/TV,103.33333333333333,1240.0,"38-year-old female owning housing, no savings, no checking account, very high debt-to-savings ratio, moderate monthly payment.",bad risk
27,male,2,own,rich,,8613,27,car,319.0,2153.25,"27-year-old male owning housing, rich savings, no checking account, moderate debt-to-savings ratio, high monthly payment.",good risk
66,male,1,own,quite rich,moderate,766,12,radio/TV,63.833333333333336,766.0,"66-year-old male owning housing, quite rich savings, moderate checking account, moderate debt-to-savings ratio, low monthly payment.",good risk
35,male,2,own,,moderate,2728,15,radio/TV,181.86666666666667,2728.0,"35-year-old male owning housing, no savings, moderate checking account, very high debt-to-savings ratio, moderate monthly payment.",bad risk
44,female,1,rent,little,rich,1881,12,radio/TV,156.75,940.5,"44-year-old female renting, low savings, rich checking account, moderate debt-to-savings ratio, moderate monthly payment.",good risk
27,male,0,own,rich,rich,709,6,car,118.16666666666667,177.25,"27-year-old male with rich savings and checking accounts, owns housing, credit for car, moderate debt-to-savings ratio.",good risk
30,female,3,own,little,moderate,4795,36,radio/TV,133.19444444444446,2397.5,"30-year-old female with moderate job, owns housing, little savings, moderate checking account, high credit for radio/TV, very high debt-to-savings ratio.",bad risk
27,male,3,own,little,little,3416,27,radio/TV,126.51851851851852,1708.0,"27-year-old male with moderate job, owns housing, little savings and checking accounts, high credit for radio/TV, high debt-to-savings ratio.",bad risk
22,male,2,own,little,little,2462,18,furniture/equipment,136.77777777777777,1231.0,"22-year-old male with moderate job, owns housing, little savings and checking accounts, credit for furniture/equipment, high debt-to-savings ratio.",bad risk
23,female,2,own,little,,2288,21,furniture/equipment,108.95238095238095,1144.0,"23-year-old female with moderate job, owns housing, little savings, no checking account, credit for furniture/equipment, high debt-to-savings ratio.",bad risk
30,male,2,own,moderate,moderate,3566,48,business,74.29166666666667,1188.6666666666667,"30-year-old male with moderate job, owns housing, moderate savings and checking accounts, credit for business, moderate debt-to-savings ratio.",good risk
39,female,2,own,little,little,860,6,car,143.33333333333334,430.0,"39-year-old female with moderate job, owns housing, little savings, little checking account, credit for car, high debt-to-savings ratio.",bad risk
51,female,2,own,moderate,,682,12,car,56.833333333333336,227.33333333333334,"51-year-old female with moderate job, owns housing, moderate savings, no checking account, credit for car, moderate debt-to-savings ratio.",good risk
28,male,2,own,little,little,5371,36,furniture/equipment,149.19444444444446,2685.5,"28-year-old male with moderate job, owns housing, little savings, little checking account, high credit for furniture/equipment, very high debt-to-savings ratio.",bad risk
46,male,2,own,rich,,1582,18,radio/TV,87.88888888888889,395.5,"46-year-old male with moderate job, owns housing, rich savings, no checking account, credit for radio/TV, high debt-to-savings ratio.",good risk
42,male,2,free,moderate,,1346,6,radio/TV,224.33333333333334,448.6666666666667,"42-year-old male with moderate job, free housing, moderate savings, no checking account, credit for radio/TV, high debt-to-savings ratio.",bad risk
